Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
"17,384",45.1,"36,413","6,702",Pineapples1090,2546,"23,056","80,663","227,566.20","18,882"
"5,112",57.5,"36,421","2,536",Pyro,2541,"11,392","63,339","69,443.40","7,566"
"5,964",49.2,"36,421","3,507",haon,2541,"29,478","74,127","208,378.70","11,958"
"1,233",66.3,"36,421",968,goa1a2kw,2541,"20,086","55,034","176,963.30","6,488"
"9,491",51.5,"36,438","4,394",HotSaucinOnU,2540,"25,197","70,824","142,128.00","11,845"
"9,559",52,"36,440","4,638",duhL337ed,2539,"23,351","70,167","61,058.10","10,749"
"14,527",54.2,"36,448","4,709",XcessvePlay,2538,"14,993","69,235","180,032.60","14,204"
"11,367",52.2,"36,452","5,750",woss_occurin,2537,"12,423","69,914","213,539.00","11,115"
"15,831",48.2,"36,453","6,417",EdgarAllan-N-Poe,2536,"35,496","75,704","107,926.90","15,232"
"13,478",47.1,"36,456","7,064",eheimbach8,2535,"20,002","77,859","233,980.50","12,354"
"15,357",48.6,"36,457","7,608",CU77A,2534,"21,214","74,978","215,174.40","14,223"
"17,415",46.3,"36,460","6,625",Lemon8th,2531,"25,528","79,400","314,691.50","16,593"
"9,368",53.2,"36,460","4,980",Jam.,2531,"24,574","68,881","64,675.90","11,315"
"11,778",43,"36,460","7,863",blacksheep,2531,"31,241","85,225","527,116.10","13,735"
"14,029",47.3,"36,463","5,827",Nextbag83115714,2530,"35,935","78,374","312,627.70","15,111"
"9,247",52.8,"36,474","3,459",LeoBaltazar_,2529,"25,724","70,620","696,341.90","10,046"
821,55.5,"36,476",382,Highko,2528,"20,553","68,139","95,347.40","5,944"
"17,664",46.3,"36,478","6,240",I.AM.ERR,2525,"27,114","78,861","159,078.20","15,187"
"5,387",50.9,"36,481","2,708",yapp,2524,"22,985","71,661","201,732.70","8,494"
"10,887",44.7,"36,484","6,811",Heltzi1,2523,"26,968","81,695","285,189.20","12,653"
"6,432",52,"36,488","3,428",lov.,2522,"22,352","70,124","295,556.80","8,242"
"14,486",46.3,"36,490","6,817",chiqqi,2521,"29,572","78,901","172,646.80","13,211"
"13,246",51,"36,491","4,962",Biiiiiihhhhh_954,2520,"15,119","71,704","80,423.60","13,112"
"17,898",44,"36,493","7,079",iMosn-,2519,"29,909","83,015","208,075.10","18,468"
"9,196",49.9,"36,494","3,526",Zebus,2518,"21,082","73,152","277,509.20","9,687"
"3,813",57.6,"36,499","1,894",Lines,2517,"21,221","64,087","208,677.60","8,413"
"4,163",54,"36,500","1,906",fishishunting,2516,"20,423","69,385","146,142.90","7,925"
"14,450",50.2,"36,501","6,493",Gui_1986,2515,"25,782","72,922","208,211.90","14,602"
